index,date,north,east,individ,gender
SEP0185099,2020-08-21,7126994,505166,BI041247,Hona
SEP0185104,2020-09-14,7102433,508096,NRM_706,Hona
SEP0185110,2020-09-26,7098599,498035,NRM_707,Hane
SEP0185112,2020-09-08,6987516,509480,BI407205,Hane
SEP0185121,2020-09-12,7008812,511436,NRM_836,Hane
SEP0185125,2020-09-24,6967858,390899,BI407144,Hona
SEP0185130,2020-09-14,7053385,537095,NRM_970,Hona
SEP0185139,2020-09-16,7056835,536612,NRM_970,Hona
SEP0185145,2020-09-08,6987398,508371,NRM_803,Hane
SEP0185146,2020-09-08,6988093,507563,NRM_803,Hane
SEP0185148,2020-09-21,6987282,509103,NRM_1240,Hona
SEP0185160,2020-09-14,6972425,527111,BI407166,Hona
SEP0185182,2020-09-04,6874052,416851,BI407291,Hona
SEP0185185,2020-09-01,6987701,510651,NRM_836,Hane
SEP0185193,2020-10-12,7099741,560465,BI041291,Hona
SEP0185200,2020-09-25,7038792,539316,NRM_1243,Hane
SEP0185204,2020-09-19,7033836,544439,BI407188,Hona
SEP0185227,2020-09-08,7017889,506727,BI407130,Hona
SEP0185231,2020-09-13,7082656,480820,BI407257,Hane
SEP0185248,2020-10-13,7045175,569727,BI040898,Hona
SEP0185258,2020-09-08,7029971,500143,BI407167,Hona
SEP0185265,2020-09-08,7018211,504973,BI407167,Hona
SEP0185272,2020-09-09,7040955,453095,NRM_1362,Hane
SEP0185273,2020-09-12,7042785,454975,NRM_885,Hona
SEP0185278,2020-09-05,7012874,493576,NRM_676,Hona
SEP0185280,2020-09-07,7012895,492362,NRM_881,Hane
SEP0185281,2020-09-17,7013628,492245,NRM_881,Hane
SEP0185282,2020-09-07,7010933,490771,NRM_881,Hane
SEP0185283,2020-09-27,7053290,456373,NRM_847,Hane
SEP0185288,2020-09-08,7018778,506839,NRM_675,Hane
SEP0185289,2020-09-20,7043479,446569,NRM_1283,Hona
SEP0185298,2020-10-07,7061769,482239,NRM_664,Hona
SEP0185299,2020-09-17,7056420,454276,NRM_847,Hane
SEP0185302,2020-10-03,6966326,565104,NRM_660,Hane
SEP0185305,2020-09-20,6989774,507756,BI406636,Hane
SEP0185327,2020-10-03,6965373,563729,NRM_660,Hane
SEP0185337,2020-09-19,6987540,509325,NRM_1143,Hane
SEP0185343,2020-10-02,6972535,517837,BI407166,Hona
SEP0185346,2020-10-08,6991334,504154,NRM_884,Hona
SEP0185350,2020-09-29,6971320,518422,NRM_658,Hona
SEP0185351,2020-10-01,6979654,569218,BI409202,Hane
SEP0185352,2020-09-22,6975077,522387,NRM_764,Hona
SEP0185361,2020-10-17,6987542,509544,NRM_803,Hane
SEP0185363,2020-09-27,6992247,548868,NRM_748,Hane
SEP0185364,2020-09-24,6975413,520246,BI407166,Hona
SEP0185368,2020-09-27,6990812,548191,BI407363,Hona
SEP0185369,2020-10-01,6975097,518486,NRM_658,Hona
SEP0185370,2020-10-04,6987231,507356,NRM_1143,Hane
SEP0185371,2020-10-02,6974093,519559,NRM_658,Hona
SEP0185382,2020-09-29,6975590,520024,BI407166,Hona
SEP0185384,2020-10-12,6939246,506994,BI407050,Hane
SEP0185397,2020-09-26,6986475,538088,BI080374,Hane
SEP0185399,2020-10-17,6974694,518852,NRM_658,Hona
SEP0185400,2020-09-07,7122108,518895,NRM_708,Hona
SEP0185404,2020-09-06,7118500,517062,BI407138,Hona
SEP0185422,2020-09-27,7144753,488187,NRM_2030,Hona
SEP0185451,2020-08-22,7114220,519150,NRM_797,Hona
SEP0185452,2020-09-22,7153938,497048,NRM_1602,Hona
SEP0185453,2020-10-11,7066665,535047,NRM_1109,Hona
SEP0185454,2020-09-27,7151484,485887,BI406963,Hona
