Vecka,Individ,Kon,LnNamn,Long,Lat,LongIndivid,LatIndivid
41,NRM_634,Hona,Västernorrlands,617496,7047322,621596.875,7037214.75
39,NRM_1200,Hane,Västernorrlands,606710,7037726,600573,7039200
42,BI414855,Hane,Västernorrlands,592845,7048706,595863.8181818182,7043701.909090909
42,BI414855,Hane,Västernorrlands,592851,7048695,595863.8181818182,7043701.909090909
42,BI414855,Hane,Västernorrlands,589316,7037596,595863.8181818182,7043701.909090909
37,NRM_819,Hona,Västernorrlands,598536,7043608,602137,7041780
38,NRM_1355,Hona,Västernorrlands,587776,7050624,587636.6666666666,7051111.333333333
40,BI406692,Hane,Västernorrlands,605145,7038366,607638.25,7047338.916666667
37,BI406692,Hane,Västernorrlands,617037,7047359,607638.25,7047338.916666667
37,BI414855,Hane,Västernorrlands,593320,7045940,595863.8181818182,7043701.909090909
35,NRM_1255,Hane,Västernorrlands,615955,6956849,616367.6,6958944
